Index,Date,Month,Year,USD/BDT
551,8,3,2012,81.69
552,9,3,2012,81.8
553,12,3,2012,81.74
554,13,3,2012,82.0
555,14,3,2012,82.0
556,15,3,2012,81.775
557,16,3,2012,82.0
558,19,3,2012,81.775
559,20,3,2012,81.78
560,21,3,2012,82.0
561,22,3,2012,81.78
562,23,3,2012,81.78
563,26,3,2012,81.78
564,27,3,2012,81.78
565,28,3,2012,81.78
566,29,3,2012,81.79
567,30,3,2012,81.79
568,2,4,2012,81.79
569,3,4,2012,82.0
570,4,4,2012,82.0
571,5,4,2012,81.83
572,6,4,2012,81.9
573,9,4,2012,81.795
574,10,4,2012,82.0
575,11,4,2012,81.795
576,12,4,2012,81.95
577,13,4,2012,81.9
578,16,4,2012,81.795
579,17,4,2012,81.795
580,18,4,2012,81.795
581,19,4,2012,81.795
582,20,4,2012,81.795
583,23,4,2012,81.95
584,24,4,2012,81.825
585,25,4,2012,82.05
586,26,4,2012,81.9
587,27,4,2012,81.825
588,30,4,2012,81.825
589,1,5,2012,81.9
590,2,5,2012,81.9
591,3,5,2012,82.1
592,4,5,2012,71.95
593,7,5,2012,82.1
594,8,5,2012,81.95
595,9,5,2012,81.825
596,10,5,2012,81.98
597,11,5,2012,81.89
598,14,5,2012,81.835
599,15,5,2012,81.695
600,16,5,2012,81.775
601,17,5,2012,81.805
602,18,5,2012,81.805
603,21,5,2012,81.805
604,22,5,2012,81.825
605,23,5,2012,81.825
606,24,5,2012,81.775
607,25,5,2012,81.88
608,28,5,2012,81.88
609,29,5,2012,81.875
610,30,5,2012,81.99
611,31,5,2012,81.88
612,1,6,2012,81.99
613,4,6,2012,81.875
614,5,6,2012,81.84
615,6,6,2012,81.755
616,7,6,2012,82.1
617,8,6,2012,82.15
618,11,6,2012,81.93
619,12,6,2012,81.95
620,13,6,2012,82.0
621,14,6,2012,81.94
622,15,6,2012,82.05
623,18,6,2012,82.05
624,19,6,2012,81.95
625,20,6,2012,81.84
626,21,6,2012,81.83
627,22,6,2012,81.98
628,25,6,2012,82.05
629,26,6,2012,81.83
630,27,6,2012,81.88
631,28,6,2012,81.8
632,29,6,2012,82.0
633,2,7,2012,81.85
634,3,7,2012,81.85
635,4,7,2012,81.92
636,5,7,2012,81.85
637,6,7,2012,81.85
638,9,7,2012,81.85
639,10,7,2012,81.83
640,11,7,2012,81.94
641,12,7,2012,81.89
642,13,7,2012,81.93
643,16,7,2012,81.805
644,17,7,2012,82.05
